"Gene","logFC","AveExpr","t","PValue","FDR","B","Test"
"ENSG00000276850",-3.00116636388579,2.60084159689703,-5.04854776132724,4.80728970250294e-07,0.00912135148152909,3.7634959906912,"Old_vs_Young_Main_Effect"
"PGGHG",-1.80909830531007,3.92932525682115,-4.50036632951244,7.12767860920948e-06,0.0676202869655703,2.21257271711957,"Old_vs_Young_Main_Effect"
"THUMPD3",1.13819712994531,4.77766919436024,4.20623795101986,2.6978292193129e-05,0.0982040683510769,1.40146608867659,"Old_vs_Young_Main_Effect"
"TBPL1",1.2861941682927,4.95953952901418,4.17019788944788,3.15815652630571e-05,0.0982040683510769,1.17367762990911,"Old_vs_Young_Main_Effect"
"ENSG00000275234",-2.59498236894169,2.53284995442283,-4.252275675539,2.20216448037509e-05,0.0982040683510769,0.846693550396412,"Old_vs_Young_Main_Effect"
"IKZF4",-1.54388262121411,3.52492349858087,-4.13855640089696,3.62300241624085e-05,0.0982040683510769,0.782031740514146,"Old_vs_Young_Main_Effect"
"FAM210A",1.15639962428973,4.26880690033656,4.01358880117379,6.17493749660578e-05,0.146454080075748,0.713741363255969,"Old_vs_Young_Main_Effect"
"ENSG00000278291",-2.50641192422895,2.22132595126121,-4.1594318536031,3.3095581543352e-05,0.0982040683510769,0.545391738056282,"Old_vs_Young_Main_Effect"
"SPATA6",1.44677853739109,4.5095711623256,3.97910697109226,7.13533135427376e-05,0.150428641239989,0.53545432824807,"Old_vs_Young_Main_Effect"
"ANKRD37",1.44930479058722,4.94802882580257,3.83482106912708,0.000129092374199831,0.220305082116957,0.359100881342253,"Old_vs_Young_Main_Effect"
"TRIM52",1.1887856529593,4.10453220436607,3.82242692036189,0.000135714456774356,0.220305082116957,0.0646593389188324,"Old_vs_Young_Main_Effect"
"PRKAA2",1.87168832916745,3.37897748618769,3.81589727717595,0.000139330714946953,0.220305082116957,-0.0623165805346337,"Old_vs_Young_Main_Effect"
"DPP4",-1.77588047189819,3.32758417011344,-3.74311521781709,0.00018628649660397,0.271892306658748,-0.0950307907514238,"Old_vs_Young_Main_Effect"
"CCDC122",1.28381410835503,3.77308987400171,3.68254261452802,0.000236333779722274,0.298946475763361,-0.282079113571051,"Old_vs_Young_Main_Effect"
"SLFN13",1.50080430282026,3.63065452007222,3.69261094120356,0.00022722210220209,0.298946475763361,-0.390582254657325,"Old_vs_Young_Main_Effect"
"CCDC9B",-1.55477966247806,2.97537550176501,-3.61393603525552,0.000308169492683976,0.308850867304643,-0.529960838320281,"Old_vs_Young_Main_Effect"
"ENSG00000273748",1.87974502406243,3.36011401591173,3.619461873416,0.000301700561733337,0.308850867304643,-0.548216150924415,"Old_vs_Young_Main_Effect"
"NOP2",1.15558571499336,4.14470968770419,3.57460516893676,0.000358106834652795,0.308850867304643,-0.549753881665787,"Old_vs_Young_Main_Effect"
"CSPG5",-1.93292138224909,2.15661658266903,-3.59883929010525,0.000326511523320514,0.308850867304643,-0.556076109556806,"Old_vs_Young_Main_Effect"
"NTM",-2.32514233227663,3.04977846242193,-3.52014084092867,0.000439848160726947,0.313734917296153,-0.592055333819509,"Old_vs_Young_Main_Effect"
"SEMA3B",-1.63902415767585,3.37161141414632,-3.50108119187831,0.000472353969115067,0.320087293213903,-0.602441790138758,"Old_vs_Young_Main_Effect"
"ZNF143",1.04232829596346,4.35766310803829,3.54611956157982,0.00039889777269414,0.313734917296153,-0.636444214938173,"Old_vs_Young_Main_Effect"
"WAC-AS1",1.08565781844506,4.90451968742733,3.51616891900493,0.000446444754242443,0.313734917296153,-0.649633148495185,"Old_vs_Young_Main_Effect"
"ANXA2R",1.64211399292462,3.66325249162046,3.58362498436594,0.000346027004728697,0.308850867304643,-0.734141450083214,"Old_vs_Young_Main_Effect"
"MTCL3",-2.45593701536442,1.87180519088659,-3.608786251979,0.000314314974801115,0.308850867304643,-0.812343853960739,"Old_vs_Young_Main_Effect"
"MTRF1L",0.976566715259501,4.80775924987608,3.43929939364699,0.00059379317758096,0.37229403449216,-0.829624218449458,"Old_vs_Young_Main_Effect"
"SLC7A6OS",1.01259653051418,4.50101381536454,3.44007345551033,0.00059210635856794,0.37229403449216,-0.869492356154794,"Old_vs_Young_Main_Effect"
"MISP3",-2.00197106134939,2.92878146819745,-3.61004477549984,0.000312802606696125,0.308850867304643,-0.911929811741163,"Old_vs_Young_Main_Effect"
"ELP6",0.937448566447086,4.76138542589528,3.40259389811793,0.000679116548642206,0.390471436179916,-0.91471663891465,"Old_vs_Young_Main_Effect"
