"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"TAB2",-0.663785896208555,0.997456231420016,0.0028670415363956,"TGF-beta activated kinase 1 (MAP3K7) binding protein 2",21,"Salmonella infection; Yersinia infection; TNF signaling pathway; NF-kappa B signaling pathway; MAPK signaling pathway; Shigellosis; Pathogenic Escherichia coli infection; Hepatitis B; Human immunodeficiency virus 1 infection; Lipid and atherosclerosis; Coronavirus disease - COVID-19; Epstein-Barr virus infection; Osteoclast differentiation; Measles; IL-17 signaling pathway; NOD-like receptor signaling pathway; Toxoplasmosis; Alcoholic liver disease; Herpes simplex virus 1 infection; Toll-like receptor signaling pathway; Leishmaniasis",13,"regulation of autophagy; regulation of canonical NF-kappaB signal transduction; canonical NF-kappaB signal transduction; positive regulation of transferase activity; positive regulation of canonical NF-kappaB signal transduction; positive regulation of kinase activity; negative regulation of catabolic process; positive regulation of protein kinase activity; response to lipopolysaccharide; response to molecule of bacterial origin; negative regulation of cellular catabolic process; negative regulation of autophagy; non-canonical NF-kappaB signal transduction"
"CTTNBP2NL",-0.749376696726679,0.997456231420016,0.00284341920394254,"CTTNBP2 N-terminal like",0,"No KEGG pathway",2,"dephosphorylation; protein dephosphorylation"
"GPR132",-1.51540103640627,0.997456231420016,0.00117657725394559,"G protein-coupled receptor 132",1,"Efferocytosis",16,"mitotic cell cycle phase transition; regulation of cell cycle phase transition; negative regulation of cell cycle; negative regulation of cell cycle process; cell cycle G2/M phase transition; negative regulation of cell cycle phase transition; regulation of mitotic cell cycle phase transition; G2/M transition of mitotic cell cycle; negative regulation of mitotic cell cycle; G1/S transition of mitotic cell cycle; regulation of cell cycle G2/M phase transition; negative regulation of mitotic cell cycle phase transition; cell cycle G1/S phase transition; regulation of G2/M transition of mitotic cell cycle; negative regulation of cell cycle G2/M phase transition; negative regulation of G2/M transition of mitotic cell cycle"
"CD300C",0.801745286951986,0.997456231420016,0.00418550510727476,"CD300c molecule",0,"No KEGG pathway",1,"cellular defense response"
"CD300C",0.801745286951986,0.997456231420016,0.00418550510727476,"CD300c molecule",0,"No KEGG pathway",1,"cellular defense response"
"IP6K1",-0.761020564316408,0.997456231420016,0.00217079705240134,"inositol hexakisphosphate kinase 1",2,"Phosphatidylinositol signaling system; Inositol phosphate metabolism",21,"phospholipid biosynthetic process; phospholipid metabolic process; glycerophospholipid biosynthetic process; glycerophospholipid metabolic process; glycerolipid biosynthetic process; phosphatidylinositol biosynthetic process; phosphatidylinositol metabolic process; glycerolipid metabolic process; adaptive thermogenesis; phosphatidylinositol phosphate biosynthetic process; cold-induced thermogenesis; regulation of cold-induced thermogenesis; temperature homeostasis; alcohol metabolic process; negative regulation of cold-induced thermogenesis; polyol metabolic process; alcohol biosynthetic process; inositol phosphate metabolic process; polyol biosynthetic process; organic hydroxy compound biosynthetic process; inositol phosphate biosynthetic process"
"KXD1",0.492721749939436,0.997456231420016,0.00682232925828062,"KxDL motif containing 1",1,"Lysosome biogenesis",11,"establishment of organelle localization; regulation of cellular component size; microtubule-based transport; cytoskeleton-dependent intracellular transport; transport along microtubule; microtubule-based movement; organelle transport along microtubule; lysosome localization; vacuolar localization; regulation of vesicle size; regulation of endosome size"
"PPARA",-0.920015823016679,0.997456231420016,0.00117162670555028,"peroxisome proliferator activated receptor alpha",9,"Non-alcoholic fatty liver disease; Diabetic cardiomyopathy; Insulin resistance; Hepatitis C; Alcoholic liver disease; Adipocytokine signaling pathway; Glucagon signaling pathway; PPAR signaling pathway; cAMP signaling pathway",160,"viral process; cell growth; regulation of cell growth; cellular response to external stimulus; ribose phosphate metabolic process; ribonucleotide metabolic process; purine nucleotide metabolic process; purine-containing compound metabolic process; intracellular receptor signaling pathway; regulation of cell-cell adhesion; purine ribonucleotide metabolic process; nucleoside phosphate biosynthetic process; nucleotide biosynthetic process; cellular response to extracellular stimulus; leukocyte cell-cell adhesion; wound healing; ribose phosphate biosynthetic process; ribonucleotide biosynthetic process; small molecule catabolic process; ncRNA transcription; cellular response to nutrient levels; negative regulation of catabolic process; regulation of leukocyte cell-cell adhesion; purine ribonucleotide biosynthetic process; organic acid catabolic process; carboxylic acid catabolic process; purine-containing compound biosynthetic process; purine nucleotide biosynthetic process; positive regulation of viral process; maintenance of location; negative regulation of growth; negative regulation of cell growth; monosaccharide metabolic process; regulation of ncRNA transcription; response to nutrient levels; response to starvation; response to oxygen levels; fatty acid beta-oxidation; cellular response to starvation; fatty acid oxidation; response to decreased oxygen levels; fatty acid catabolic process; biological process involved in symbiotic interaction; developmental cell growth; monocarboxylic acid catabolic process; lipid oxidation; hexose metabolic process; cellular lipid catabolic process; miRNA metabolic process; nucleoside triphosphate metabolic process; regulation of viral process; response to hypoxia; lipid modification; biological process involved in interaction with host; rhythmic process; fatty acid metabolic process; miRNA transcription; response to peptide hormone; regulation of miRNA transcription; negative regulation of cell adhesion; lipid catabolic process; regulation of miRNA metabolic process; response to insulin; ribonucleoside triphosphate metabolic process; steroid hormone mediated signaling pathway; nucleoside triphosphate biosynthetic process; purine nucleoside triphosphate metabolic process; lipoprotein metabolic process; regulation of carbohydrate metabolic process; circadian regulation of gene expression; purine ribonucleoside triphosphate metabolic process; response to transforming growth factor beta; negative regulation of miRNA metabolic process; regulation of generation of precursor metabolites and energy; ribonucleoside triphosphate biosynthetic process; carbohydrate biosynthetic process; regulation of fatty acid oxidation; circadian rhythm; cellular response to steroid hormone stimulus; regulation of developmental growth; negative regulation of miRNA transcription; glucose metabolic process; cellular response to transforming growth factor beta stimulus; negative regulation of cell-cell adhesion; response to alcohol; purine nucleoside triphosphate biosynthetic process; regulation of reactive oxygen species metabolic process; purine ribonucleoside triphosphate biosynthetic process; regulation of small molecule metabolic process; response to steroid hormone; regulation of circadian rhythm; regulation of glucose metabolic process; carbohydrate catabolic process; ATP biosynthetic process; negative regulation of developmental growth; ATP metabolic process; phosphatidylinositol 3-kinase/protein kinase B signal transduction; pyruvate metabolic process; muscle cell differentiation; reactive oxygen species metabolic process; hormone-mediated signaling pathway; negative regulation of response to external stimulus; regulation of carbohydrate biosynthetic process; cellular ketone metabolic process; regulation of lipid metabolic process; negative regulation of leukocyte cell-cell adhesion; regulation of fatty acid beta-oxidation; monosaccharide biosynthetic process; muscle tissue development; regulation of carbohydrate catabolic process; positive regulation of carbohydrate metabolic process; transforming growth factor beta receptor signaling pathway; glycolytic process; hexose biosynthetic process; regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; regulation of glycolytic process; positive regulation of cellular catabolic process; negative regulation of signaling receptor activity; striated muscle tissue development; gluconeogenesis; positive regulation of lipid metabolic process; hepatocyte apoptotic process; epithelial cell apoptotic process; positive regulation of fatty acid oxidation; negative regulation of reactive oxygen species metabolic process; striated muscle cell differentiation; positive regulation of small molecule metabolic process; regulation of gluconeogenesis; biomineral tissue development; regulation of transforming growth factor beta receptor signaling pathway; lipid storage; lipid transport; organ growth; regulation of nucleotide metabolic process; cardiac muscle tissue development; regulation of cellular response to transforming growth factor beta stimulus; regulation of lipid catabolic process; positive regulation of ATP metabolic process; regulation of purine nucleotide metabolic process; positive regulation of gluconeogenesis; positive regulation of nucleotide metabolic process; positive regulation of purine nucleotide metabolic process; response to ethanol; transmembrane receptor protein serine/threonine kinase signaling pathway; cholesterol storage; regulation of cellular ketone metabolic process; negative regulation of cholesterol storage; positive regulation of fatty acid beta-oxidation; positive regulation of ATP biosynthetic process; regulation of cellular response to growth factor stimulus; negative regulation of muscle cell differentiation; regulation of ATP metabolic process; negative regulation of defense response; foam cell differentiation; positive regulation of lipid biosynthetic process; positive regulation of glucose metabolic process; cardiocyte differentiation; regulation of cholesterol storage; regulation of ATP biosynthetic process; macrophage derived foam cell differentiation"
"TRAF3",-0.960644597630406,0.997456231420016,0.00210613052530327,"TNF receptor associated factor 3",19,"TNF signaling pathway; Small cell lung cancer; NF-kappa B signaling pathway; Human papillomavirus infection; Hepatitis B; Kaposi sarcoma-associated herpesvirus infection; Lipid and atherosclerosis; Coronavirus disease - COVID-19; Epstein-Barr virus infection; Measles; IL-17 signaling pathway; Viral carcinogenesis; Hepatitis C; NOD-like receptor signaling pathway; Alcoholic liver disease; Herpes simplex virus 1 infection; Toll-like receptor signaling pathway; Influenza A; RIG-I-like receptor signaling pathway",33,"immune response-regulating signaling pathway; immune response-activating signaling pathway; regulation of canonical NF-kappaB signal transduction; canonical NF-kappaB signal transduction; regulation of innate immune response; positive regulation of innate immune response; protein polyubiquitination; positive regulation of defense response; response to virus; activation of innate immune response; positive regulation of response to biotic stimulus; innate immune response-activating signaling pathway; regulation of type I interferon production; type I interferon production; positive regulation of cytokine production; pattern recognition receptor signaling pathway; defense response to virus; defense response to symbiont; regulation of DNA-binding transcription factor activity; interferon-beta production; regulation of interferon-beta production; positive regulation of type I interferon production; regulation of defense response to virus; response to tumor necrosis factor; cellular response to tumor necrosis factor; protein K63-linked ubiquitination; toll-like receptor signaling pathway; negative regulation of NF-kappaB transcription factor activity; MyD88-independent toll-like receptor signaling pathway; tumor necrosis factor-mediated signaling pathway; Toll signaling pathway; TRIF-dependent toll-like receptor signaling pathway; negative regulation of DNA-binding transcription factor activity"
"ERLEC1",0.553326797243595,0.997456231420016,0.0071281896094587,"endoplasmic reticulum lectin 1",1,"Protein processing in endoplasmic reticulum",21,"proteasome-mediated ubiquitin-dependent protein catabolic process; regulation of intracellular transport; response to endoplasmic reticulum stress; regulation of intracellular protein transport; response to topologically incorrect protein; ERAD pathway; response to unfolded protein; cellular response to topologically incorrect protein; endoplasmic reticulum unfolded protein response; ubiquitin-dependent ERAD pathway; cellular response to unfolded protein; negative regulation of protein localization; negative regulation of intracellular protein transport; negative regulation of intracellular transport; protein exit from endoplasmic reticulum; retrograde protein transport, ER to cytosol; endoplasmic reticulum to cytosol transport; negative regulation of establishment of protein localization; negative regulation of protein transport; negative regulation of protein exit from endoplasmic reticulum; regulation of protein exit from endoplasmic reticulum"
