"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"SH2D4B",-2.15800745090976,0.583084731052783,0.000427561888580639,"SH2 domain containing 4B",0,"No KEGG pathway",0,"No GO term"
"LAIR1",-1.75795842324352,0.583084731052783,0.000754113243972228,"leukocyte associated immunoglobulin like receptor 1",0,"No KEGG pathway",0,"No GO term"
"LAIR1",-1.75795842324352,0.583084731052783,0.000754113243972228,"leukocyte associated immunoglobulin like receptor 1",0,"No KEGG pathway",0,"No GO term"
"LAIR1",-1.75795842324352,0.583084731052783,0.000754113243972228,"leukocyte associated immunoglobulin like receptor 1",0,"No KEGG pathway",0,"No GO term"
"LAIR1",-1.75795842324352,0.583084731052783,0.000754113243972228,"leukocyte associated immunoglobulin like receptor 1",0,"No KEGG pathway",0,"No GO term"
"LAIR1",-1.75795842324352,0.583084731052783,0.000754113243972228,"leukocyte associated immunoglobulin like receptor 1",0,"No KEGG pathway",0,"No GO term"
"C2CD4B",-2.10858140902356,0.583084731052783,0.000881428622001175,"C2 calcium dependent domain containing 4B",0,"No KEGG pathway",4,"positive regulation of defense response; regulation of vascular permeability; vascular process in circulatory system; positive regulation of inflammatory response"
"TMEM217",-2.00868389886851,0.583084731052783,0.000712682799013175,"transmembrane protein 217",0,"No KEGG pathway",0,"No GO term"
"LRP1",-1.70086418575474,0.583084731052783,0.00107952361965027,"LDL receptor related protein 1",4,"Efferocytosis; Alzheimer disease; Malaria; Cholesterol metabolism",74,"positive regulation of protein localization; cellular component disassembly; regulation of protein catabolic process; protein localization to cell periphery; protein localization to plasma membrane; regulation of actin filament-based process; regulation of actin cytoskeleton organization; positive regulation of protein catabolic process; regulation of binding; cell-cell signaling by wnt; Wnt signaling pathway; extracellular structure organization; positive regulation of binding; extracellular matrix organization; phagocytosis; regulation of Wnt signaling pathway; regulation of protein binding; external encapsulating structure organization; regulation of protein localization to membrane; regulation of endocytosis; regulation of protein localization to cell periphery; vacuolar transport; positive regulation of protein localization to membrane; cell activation involved in immune response; receptor-mediated endocytosis; regulation of protein localization to plasma membrane; positive regulation of protein binding; positive regulation of protein localization to cell periphery; lysosomal transport; positive regulation of protein localization to plasma membrane; cellular response to peptide; positive regulation of endocytosis; regulation of peptidase activity; gliogenesis; negative regulation of catalytic activity; regulation of extracellular matrix organization; negative regulation of Wnt signaling pathway; aorta development; platelet-derived growth factor receptor signaling pathway; glial cell development; vascular process in circulatory system; amyloid-beta clearance; artery development; receptor internalization; vascular transport; transport across blood-brain barrier; platelet-derived growth factor receptor-beta signaling pathway; transcytosis; lysosomal protein catabolic process; glial cell differentiation; regulation of phospholipase activity; protein catabolic process in the vacuole; negative regulation of proteolysis; apoptotic cell clearance; regulation of extracellular matrix disassembly; response to amyloid-beta; cellular response to amyloid-beta; regulation of platelet-derived growth factor receptor signaling pathway; aorta morphogenesis; negative regulation of platelet-derived growth factor receptor signaling pathway; regulation of protein catabolic process in the vacuole; lipid transport; neuroinflammatory response; positive regulation of lipid transport; isoprenoid metabolic process; transmembrane receptor protein serine/threonine kinase signaling pathway; positive regulation of sterol transport; positive regulation of cholesterol transport; regulation of lysosomal protein catabolic process; extracellular matrix disassembly; regulation of lipase activity; glial cell activation; regulation of phospholipase A2 activity; artery morphogenesis"
"IGF2BP3",-2.3401954756079,0.583084731052783,0.000817495080984835,"insulin like growth factor 2 mRNA binding protein 3",0,"No KEGG pathway",14,"RNA localization; negative regulation of catabolic process; nucleobase-containing compound transport; establishment of RNA localization; nucleic acid transport; RNA transport; mRNA transport; negative regulation of cellular catabolic process; nucleobase-containing compound catabolic process; negative regulation of mRNA metabolic process; negative regulation of RNA catabolic process; CRD-mediated mRNA stabilization; negative regulation of mRNA catabolic process; RNA stabilization"
