"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"CNTNAP3B",1.84577727230049,0.847190510905987,0.000675171100367248,"contactin associated protein family member 3B",0,"No KEGG pathway",0,"No GO term"
"CRIP1",1.45438969120553,0.847190510905987,0.00907983482868476,"cysteine rich protein 1",0,"No KEGG pathway",22,"response to UV; intrinsic apoptotic signaling pathway; cellular response to abiotic stimulus; cellular response to environmental stimulus; response to radiation; cellular response to UV; intrinsic apoptotic signaling pathway in response to DNA damage; gland morphogenesis; cellular response to radiation; response to metal ion; connective tissue development; gland development; response to light stimulus; response to antibiotic; cellular response to light stimulus; cellular response to antibiotic; cellular response to UV-B; reproductive system development; response to UV-B; reproductive structure development; prostate gland morphogenesis; prostate gland development"
"CUL2",0.950386211517379,0.847190510905987,0.00209196486345573,"cullin 2",3,"Ubiquitin mediated proteolysis; Renal cell carcinoma; HIF-1 signaling pathway",7,"proteasome-mediated ubiquitin-dependent protein catabolic process; mitotic cell cycle phase transition; intrinsic apoptotic signaling pathway; G1/S transition of mitotic cell cycle; cell cycle G1/S phase transition; SCF-dependent proteasomal ubiquitin-dependent protein catabolic process; ubiquitin-dependent protein catabolic process via the C-end degron rule pathway"
"HEBP2",0.71805894736075,0.847190510905987,0.0112643579068992,"heme binding protein 2",0,"No KEGG pathway",0,"No GO term"
"DNAJA4",1.55678856224881,0.847190510905987,0.00564912399178795,"DnaJ heat shock protein family (Hsp40) member A4",0,"No KEGG pathway",7,"protein folding; ameboidal-type cell migration; response to heat; response to temperature stimulus; epithelial cell migration; epithelium migration; tissue migration"
"IQCK",0.987152311409446,0.847190510905987,0.00597221691548606,"IQ motif containing K",0,"No KEGG pathway",0,"No GO term"
"GTF3C3",1.00219908766086,0.847190510905987,0.00219088463583171,"general transcription factor IIIC subunit 3",0,"No KEGG pathway",7,"rRNA metabolic process; tRNA metabolic process; ncRNA transcription; transcription by RNA polymerase III; rRNA transcription; tRNA transcription; tRNA transcription by RNA polymerase III"
"CPM",-1.31905957063884,0.847190510905987,0.00425017543489628,"carboxypeptidase M",0,"No KEGG pathway",1,"protein processing"
"DYNC2LI1",1.28738930383298,0.847190510905987,0.00322750184722887,"dynein cytoplasmic 2 light intermediate chain 1",3,"Salmonella infection; Motor proteins; Vasopressin-regulated water reabsorption",17,"cilium organization; cilium assembly; microtubule-based transport; cytoskeleton-dependent intracellular transport; transport along microtubule; regulation of organelle assembly; microtubule-based movement; regulation of cell projection assembly; regulation of plasma membrane bounded cell projection assembly; protein-containing complex localization; intraciliary transport; regulation of cilium assembly; intraciliary retrograde transport; left/right pattern formation; specification of symmetry; determination of bilateral symmetry; determination of left/right symmetry"
"DNAI7",3.03393307713616,0.847190510905987,0.000702773435298388,"dynein axonemal intermediate chain 7",0,"No KEGG pathway",0,"No GO term"
