"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"ARSK",1.11652946401328,0.99977338265255,0.000268128728061072,"arylsulfatase family member K",0,"No KEGG pathway",0,"No GO term"
"SLC43A2",-1.19747260106505,0.99977338265255,0.000685682679594987,"solute carrier family 43 member 2",0,"No KEGG pathway",5,"branched-chain amino acid transport; sulfur compound transport; organic acid transmembrane transport; carboxylic acid transmembrane transport; leucine transport"
"SLC43A2",-1.19747260106505,0.99977338265255,0.000685682679594987,"solute carrier family 43 member 2",0,"No KEGG pathway",5,"branched-chain amino acid transport; sulfur compound transport; organic acid transmembrane transport; carboxylic acid transmembrane transport; leucine transport"
"SELENOI",-1.2434858209438,0.99977338265255,0.000167932412257179,"selenoprotein I",2,"Glycerophospholipid metabolism; Ether lipid metabolism",8,"phospholipid biosynthetic process; phospholipid metabolic process; glycerophospholipid biosynthetic process; glycerophospholipid metabolic process; glycerolipid biosynthetic process; glycerolipid metabolic process; phosphatidylethanolamine metabolic process; phosphatidylethanolamine biosynthetic process"
"SSRP1",0.809672645000393,0.99977338265255,0.00221060288339801,"structure specific recognition protein 1",0,"No KEGG pathway",6,"DNA replication; cellular component disassembly; protein-containing complex disassembly; regulation of chromatin organization; protein-DNA complex disassembly; nucleosome disassembly"
"RGN",1.77334913913165,0.99977338265255,0.000335008544118747,"regucalcin",3,"Biosynthesis of cofactors; Carbon metabolism; Pentose phosphate pathway",82,"positive regulation of proteolysis; negative regulation of protein modification process; regulation of proteolysis involved in protein catabolic process; microtubule-based movement; DNA biosynthetic process; regulation of microtubule-based process; glycerolipid biosynthetic process; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; negative regulation of phosphorylation; regulation of DNA biosynthetic process; negative regulation of protein phosphorylation; kidney development; negative regulation of catabolic process; renal system development; glycerolipid metabolic process; positive regulation of proteolysis involved in protein catabolic process; monosaccharide metabolic process; water-soluble vitamin metabolic process; hexose metabolic process; fatty acid metabolic process; bone development; hepaticobiliary system development; negative regulation of cellular catabolic process; gland development; liver development; negative regulation of DNA metabolic process; regulation of carbohydrate metabolic process; calcium-mediated signaling; carbohydrate biosynthetic process; glucose metabolic process; reactive nitrogen species metabolic process; nitric oxide metabolic process; regulation of small molecule metabolic process; nucleobase-containing compound catabolic process; intracellular calcium ion homeostasis; vitamin metabolic process; positive regulation of ATP-dependent activity; regulation of glucose metabolic process; nitric oxide biosynthetic process; regulation of calcium-mediated signaling; second-messenger-mediated signaling; calcium ion homeostasis; organic acid biosynthetic process; regulation of ATP-dependent activity; cellular ketone metabolic process; carboxylic acid biosynthetic process; regulation of lipid metabolic process; epithelial cell proliferation; negative regulation of DNA biosynthetic process; monosaccharide biosynthetic process; vitamin biosynthetic process; regulation of nitric oxide metabolic process; water-soluble vitamin biosynthetic process; cilium movement; liver regeneration; positive regulation of carbohydrate metabolic process; regulation of nitric oxide biosynthetic process; regeneration; DNA catabolic process; L-ascorbic acid metabolic process; lactone metabolic process; regulation of microtubule-based movement; animal organ regeneration; positive regulation of lipid metabolic process; positive regulation of small molecule metabolic process; regulation of epithelial cell proliferation; triglyceride biosynthetic process; monocarboxylic acid biosynthetic process; positive regulation of triglyceride biosynthetic process; neutral lipid biosynthetic process; acylglycerol biosynthetic process; regulation of cellular ketone metabolic process; neutral lipid metabolic process; acylglycerol metabolic process; positive regulation of lipid biosynthetic process; positive regulation of glucose metabolic process; regulation of reproductive process; fatty acid biosynthetic process; regulation of cilium movement; cilium or flagellum-dependent cell motility; cilium-dependent cell motility"
"ELL",-1.19150721167157,0.99977338265255,0.000992659194177736,"elongation factor for RNA polymerase II",1,"Viral life cycle - HIV-1",14,"in utero embryonic development; DNA-templated transcription elongation; transcription elongation by RNA polymerase II; ncRNA transcription; regulation of DNA-templated transcription elongation; regulation of transcription elongation by RNA polymerase II; transcription by RNA polymerase III; snRNA metabolic process; positive regulation of DNA-templated transcription, elongation; positive regulation of transcription elongation by RNA polymerase II; regulation of transcription by RNA polymerase III; positive regulation of transcription by RNA polymerase III; snRNA transcription; snRNA transcription by RNA polymerase II"
"FAM210A",1.14281247071247,0.99977338265255,0.00129549179849847,"family with sequence similarity 210 member A",0,"No KEGG pathway",0,"No GO term"
"EFNB2",-1.13245070882259,0.99977338265255,0.00186594616020091,"ephrin B2",1,"Axon guidance",68,"viral process; positive regulation of cell adhesion; positive regulation of lymphocyte activation; positive regulation of leukocyte activation; regulation of neuron projection development; positive regulation of cell activation; viral life cycle; regulation of cell-cell adhesion; regulation of T cell activation; leukocyte cell-cell adhesion; positive regulation of cell-cell adhesion; positive regulation of leukocyte cell-cell adhesion; vesicle-mediated transport in synapse; protein-containing complex localization; kidney development; renal system development; epithelial tube morphogenesis; regulation of leukocyte cell-cell adhesion; positive regulation of T cell activation; regulation of endocytosis; cell-cell junction organization; chemotaxis; negative regulation of cell projection organization; taxis; regulation of chemotaxis; receptor-mediated endocytosis; negative regulation of neuron projection development; biological process involved in symbiotic interaction; movement in host; T cell costimulation; biological process involved in interaction with host; entry into host; lymphocyte costimulation; axonogenesis; viral entry into host cell; lymph vessel development; aorta development; adherens junction organization; ephrin receptor signaling pathway; ameboidal-type cell migration; muscle cell differentiation; artery development; receptor internalization; regulation of receptor internalization; epithelial cell proliferation; kidney epithelium development; regulation of receptor-mediated endocytosis; muscle tissue development; negative regulation of keratinocyte proliferation; axon guidance; neuron projection guidance; regulation of postsynaptic membrane neurotransmitter receptor levels; striated muscle tissue development; epithelial cell migration; striated muscle cell differentiation; regulation of epithelial cell proliferation; epithelium migration; tissue migration; aorta morphogenesis; regulation of keratinocyte proliferation; cardiac muscle tissue development; venous blood vessel development; regulation of postsynaptic neurotransmitter receptor internalization; keratinocyte proliferation; postsynaptic neurotransmitter receptor internalization; postsynaptic endocytosis; cardiocyte differentiation; artery morphogenesis"
"INTU",1.12983995095769,0.99977338265255,0.00142040792465876,"inturned planar cell polarity protein",0,"No KEGG pathway",45,"cilium organization; cilium assembly; microtubule-based transport; cytoskeleton-dependent intracellular transport; transport along microtubule; regulation of organelle assembly; microtubule-based movement; regulation of cell projection assembly; regulation of plasma membrane bounded cell projection assembly; protein-containing complex localization; neural tube development; morphogenesis of a polarized epithelium; non-motile cilium assembly; intraciliary transport; regulation of cilium assembly; smoothened signaling pathway; establishment of planar polarity; establishment of tissue polarity; regulation of cell division; regulation of smoothened signaling pathway; ossification; roof of mouth development; motile cilium assembly; epithelial cell proliferation; positive regulation of smoothened signaling pathway; regulation of ossification; negative regulation of keratinocyte proliferation; appendage development; limb development; regulation of epithelial cell proliferation; molting cycle process; hair cycle process; appendage morphogenesis; limb morphogenesis; embryonic digit morphogenesis; regulation of keratinocyte proliferation; hair follicle development; skin epidermis development; embryonic limb morphogenesis; embryonic appendage morphogenesis; keratinocyte proliferation; hair follicle morphogenesis; molting cycle; hair cycle; tongue morphogenesis"
"WAC-AS1",1.24810314756127,0.99977338265255,0.00248000797259421,"WAC antisense RNA 1 (head to head)",0,"No KEGG pathway",0,"No GO term"
"THUMPD3",1.13158523724448,0.99977338265255,0.00295118005576397,"THUMP domain 3 tRNA guanosine methyltransferase",0,"No KEGG pathway",9,"ncRNA processing; tRNA metabolic process; tRNA processing; RNA modification; methylation; tRNA modification; macromolecule methylation; RNA methylation; tRNA methylation"
"ANKRD37",1.21686839207743,0.99977338265255,0.00465847437588544,"ankyrin repeat domain 37",0,"No KEGG pathway",0,"No GO term"
"TSPAN5",1.11497992483933,0.99977338265255,0.00242456476596077,"tetraspanin 5",0,"No KEGG pathway",5,"protein localization to cell periphery; protein localization to plasma membrane; Notch signaling pathway; regulation of Notch signaling pathway; positive regulation of Notch signaling pathway"
"ADGRE5",-1.10647777691382,0.99977338265255,0.0037811145282164,"adhesion G protein-coupled receptor E5",0,"No KEGG pathway",0,"No GO term"
"OGFOD2",1.22512166616871,0.99977338265255,0.00257429688563075,"2-oxoglutarate and iron dependent oxygenase domain containing 2",0,"No KEGG pathway",0,"No GO term"
"CXCL2",-1.71381515259121,0.99977338265255,0.00663335268212272,"C-X-C motif chemokine ligand 2",13,"TNF signaling pathway; NF-kappa B signaling pathway; Chemokine signaling pathway; Amoebiasis; Epithelial cell signaling in Helicobacter pylori infection; Kaposi sarcoma-associated herpesvirus infection; Lipid and atherosclerosis; IL-17 signaling pathway; Legionellosis; NOD-like receptor signaling pathway; Viral protein interaction with cytokine and cytokine receptor; Alcoholic liver disease; Rheumatoid arthritis",18,"leukocyte migration; chemotaxis; taxis; leukocyte chemotaxis; myeloid leukocyte migration; response to lipopolysaccharide; neutrophil migration; cell chemotaxis; response to molecule of bacterial origin; granulocyte migration; granulocyte chemotaxis; neutrophil chemotaxis; cellular response to biotic stimulus; response to chemokine; cellular response to chemokine; cellular response to lipopolysaccharide; cellular response to molecule of bacterial origin; chemokine-mediated signaling pathway"
"TRNP1",1.15585505745726,0.99977338265255,0.00411303834735234,"TMF1 regulated nuclear protein 1",0,"No KEGG pathway",8,"cerebellar cortex development; cerebellum development; hindbrain development; metencephalon development; neural precursor cell proliferation; cerebellar cortex morphogenesis; cerebellum morphogenesis; hindbrain morphogenesis"
"MMAA",-1.19162443215474,0.99977338265255,0.00167581581057214,"metabolism of cobalamin associated A",1,"Cobalamin transport and metabolism",3,"water-soluble vitamin metabolic process; vitamin metabolic process; tetrapyrrole metabolic process"
"MMAA",-1.19162443215474,0.99977338265255,0.00167581581057214,"metabolism of cobalamin associated A",1,"Cobalamin transport and metabolism",3,"water-soluble vitamin metabolic process; vitamin metabolic process; tetrapyrrole metabolic process"
