"Gene","logFC","FDR","PValue","Description","N_Pathways","KEGG_Pathways","N_GO_Terms","GO_Terms"
"TMEM175",1.21200858042116,0.999697254482578,0.00303417444896253,"transmembrane protein 175",1,"Lysosome biogenesis",18,"vesicle organization; vacuole organization; organelle membrane fusion; organelle fusion; phagocytosis; vesicle fusion; lysosome organization; lytic vacuole organization; regulation of intracellular pH; regulation of cellular pH; phagosome maturation; regulation of pH; membrane fusion; regulation of lysosomal lumen pH; phagolysosome assembly; phagosome-lysosome fusion; neuron cellular homeostasis; proton transmembrane transport"
"IL1RL1",1.97478792415463,0.999697254482578,0.00233084931337212,"interleukin 1 receptor like 1",0,"No KEGG pathway",25,"positive regulation of leukocyte activation; positive regulation of cell activation; positive regulation of defense response; myeloid leukocyte activation; positive regulation of cytokine production; regulation of adaptive immune response; regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; myeloid cell differentiation; myeloid leukocyte differentiation; negative regulation of immune response; T-helper 1 type immune response; negative regulation of adaptive immune response; negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; regulation of T-helper 1 type immune response; macrophage activation; positive regulation of chemokine production; type II interferon production; regulation of type II interferon production; positive regulation of inflammatory response; macrophage differentiation; chemokine production; regulation of chemokine production; adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains; positive regulation of interleukin-5 production; regulation of macrophage activation"
"TRIB1",-1.2931473562508,0.999697254482578,0.00470093457363636,"tribbles pseudokinase 1",0,"No KEGG pathway",56,"proteasome-mediated ubiquitin-dependent protein catabolic process; regulation of protein catabolic process; positive regulation of proteolysis; negative regulation of protein modification process; positive regulation of protein catabolic process; regulation of proteolysis involved in protein catabolic process; regulation of proteasomal protein catabolic process; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; negative regulation of phosphorylation; regulation of ubiquitin-dependent protein catabolic process; regulation of protein serine/threonine kinase activity; negative regulation of protein phosphorylation; regulation of proteasomal ubiquitin-dependent protein catabolic process; positive regulation of proteasomal protein catabolic process; negative regulation of transferase activity; positive regulation of proteolysis involved in protein catabolic process; stress-activated protein kinase signaling cascade; stress-activated MAPK cascade; regulation of leukocyte differentiation; positive regulation of ubiquitin-dependent protein catabolic process; positive regulation of proteasomal ubiquitin-dependent protein catabolic process; positive regulation of cell development; JNK cascade; negative regulation of kinase activity; negative regulation of protein kinase activity; regulation of DNA-binding transcription factor activity; regulation of hemopoiesis; positive regulation of leukocyte differentiation; positive regulation of hemopoiesis; myeloid cell differentiation; response to lipopolysaccharide; response to molecule of bacterial origin; myeloid leukocyte differentiation; regulation of MAP kinase activity; negative regulation of response to biotic stimulus; negative regulation of catalytic activity; cellular response to biotic stimulus; negative regulation of cell development; negative regulation of response to external stimulus; cellular response to lipopolysaccharide; lipopolysaccharide-mediated signaling pathway; granulocyte differentiation; cellular response to molecule of bacterial origin; macrophage differentiation; neutrophil differentiation; negative regulation of leukocyte differentiation; negative regulation of DNA-binding transcription factor activity; positive regulation of myeloid cell differentiation; regulation of myeloid leukocyte differentiation; regulation of myeloid cell differentiation; negative regulation of hemopoiesis; negative regulation of myeloid leukocyte differentiation; positive regulation of macrophage differentiation; regulation of lipopolysaccharide-mediated signaling pathway; positive regulation of myeloid leukocyte differentiation"
"COL6A3",-2.98119612878005,0.999697254482578,0.000556366888153236,"collagen type VI alpha 3 chain",6,"Focal adhesion; Integrin signaling; Human papillomavirus infection; PI3K-Akt signaling pathway; Cytoskeleton in muscle cells; ECM-receptor interaction",2,"muscle organ development; response to carbohydrate"
"DLC1",-0.886733561945424,0.999697254482578,0.0133562624418484,"DLC1 Rho GTPase activating protein",0,"No KEGG pathway",75,"small GTPase mediated signal transduction; Ras protein signal transduction; actin filament organization; regulation of small GTPase mediated signal transduction; cell-substrate adhesion; regulation of supramolecular fiber organization; negative regulation of organelle organization; regulation of actin filament-based process; regulation of cell morphogenesis; regulation of actin cytoskeleton organization; positive regulation of proteolysis; regulation of cell shape; regulation of actin filament organization; regulation of cell-substrate adhesion; regulation of Ras protein signal transduction; cell-matrix adhesion; cell junction assembly; dephosphorylation; cell-substrate junction organization; epithelial tube morphogenesis; neural tube development; cell-substrate junction assembly; protein dephosphorylation; tube closure; neural tube closure; neural tube formation; primary neural tube formation; focal adhesion assembly; regulation of cell junction assembly; Rho protein signal transduction; regulation of cysteine-type endopeptidase activity involved in apoptotic process; actin filament bundle assembly; actin filament bundle organization; epithelial tube formation; regulation of cell-substrate junction organization; tube formation; positive regulation of peptidase activity; regulation of cysteine-type endopeptidase activity; embryonic epithelial tube formation; regulation of cell-matrix adhesion; regulation of focal adhesion assembly; regulation of cell-substrate junction assembly; positive regulation of cysteine-type endopeptidase activity; negative regulation of small GTPase mediated signal transduction; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process; negative regulation of cytoskeleton organization; morphogenesis of embryonic epithelium; actomyosin structure organization; contractile actin filament bundle assembly; stress fiber assembly; negative regulation of cell adhesion; positive regulation of endopeptidase activity; activation of cysteine-type endopeptidase activity involved in apoptotic process; negative regulation of Ras protein signal transduction; negative regulation of supramolecular fiber organization; regulation of actin filament bundle assembly; heart morphogenesis; regulation of dephosphorylation; regulation of stress fiber assembly; regulation of protein dephosphorylation; regulation of peptidase activity; regulation of actomyosin structure organization; positive regulation of protein dephosphorylation; positive regulation of dephosphorylation; regulation of Rho protein signal transduction; regulation of endopeptidase activity; negative regulation of Rho protein signal transduction; forebrain development; hindbrain development; negative regulation of cell-substrate adhesion; negative regulation of cell junction assembly; negative regulation of focal adhesion assembly; negative regulation of cell-substrate junction organization; negative regulation of cell-matrix adhesion; hindbrain morphogenesis"
"DLC1",-0.886733561945424,0.999697254482578,0.0133562624418484,"DLC1 Rho GTPase activating protein",0,"No KEGG pathway",75,"small GTPase mediated signal transduction; Ras protein signal transduction; actin filament organization; regulation of small GTPase mediated signal transduction; cell-substrate adhesion; regulation of supramolecular fiber organization; negative regulation of organelle organization; regulation of actin filament-based process; regulation of cell morphogenesis; regulation of actin cytoskeleton organization; positive regulation of proteolysis; regulation of cell shape; regulation of actin filament organization; regulation of cell-substrate adhesion; regulation of Ras protein signal transduction; cell-matrix adhesion; cell junction assembly; dephosphorylation; cell-substrate junction organization; epithelial tube morphogenesis; neural tube development; cell-substrate junction assembly; protein dephosphorylation; tube closure; neural tube closure; neural tube formation; primary neural tube formation; focal adhesion assembly; regulation of cell junction assembly; Rho protein signal transduction; regulation of cysteine-type endopeptidase activity involved in apoptotic process; actin filament bundle assembly; actin filament bundle organization; epithelial tube formation; regulation of cell-substrate junction organization; tube formation; positive regulation of peptidase activity; regulation of cysteine-type endopeptidase activity; embryonic epithelial tube formation; regulation of cell-matrix adhesion; regulation of focal adhesion assembly; regulation of cell-substrate junction assembly; positive regulation of cysteine-type endopeptidase activity; negative regulation of small GTPase mediated signal transduction; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process; negative regulation of cytoskeleton organization; morphogenesis of embryonic epithelium; actomyosin structure organization; contractile actin filament bundle assembly; stress fiber assembly; negative regulation of cell adhesion; positive regulation of endopeptidase activity; activation of cysteine-type endopeptidase activity involved in apoptotic process; negative regulation of Ras protein signal transduction; negative regulation of supramolecular fiber organization; regulation of actin filament bundle assembly; heart morphogenesis; regulation of dephosphorylation; regulation of stress fiber assembly; regulation of protein dephosphorylation; regulation of peptidase activity; regulation of actomyosin structure organization; positive regulation of protein dephosphorylation; positive regulation of dephosphorylation; regulation of Rho protein signal transduction; regulation of endopeptidase activity; negative regulation of Rho protein signal transduction; forebrain development; hindbrain development; negative regulation of cell-substrate adhesion; negative regulation of cell junction assembly; negative regulation of focal adhesion assembly; negative regulation of cell-substrate junction organization; negative regulation of cell-matrix adhesion; hindbrain morphogenesis"
"ICAM4",-1.57833224312283,0.999697254482578,0.00252629911554968,"intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)",1,"Integrin signaling",0,"No GO term"
"COL15A1",-1.70782410800272,0.999697254482578,0.00397789925926216,"collagen type XV alpha 1 chain",0,"No KEGG pathway",3,"extracellular structure organization; extracellular matrix organization; external encapsulating structure organization"
"TEX14",-2.30062929966526,0.999697254482578,0.000352375468322542,"testis expressed 14, intercellular bridge forming factor",0,"No KEGG pathway",60,"establishment of organelle localization; regulation of chromosome organization; chromosome segregation; sister chromatid segregation; mitotic nuclear division; negative regulation of organelle organization; organelle fission; nuclear chromosome segregation; mitotic sister chromatid segregation; mitotic cell cycle phase transition; cell cycle checkpoint signaling; nuclear division; regulation of cell cycle phase transition; negative regulation of cell cycle; negative regulation of chromosome organization; negative regulation of cell cycle process; extracellular structure organization; regulation of sister chromatid segregation; regulation of chromosome segregation; mitotic cell cycle checkpoint signaling; metaphase/anaphase transition of mitotic cell cycle; regulation of mitotic metaphase/anaphase transition; metaphase/anaphase transition of cell cycle; negative regulation of cell cycle phase transition; regulation of mitotic cell cycle phase transition; metaphase chromosome alignment; chromosome separation; regulation of metaphase/anaphase transition of cell cycle; cytokinesis; chromosome localization; regulation of chromosome separation; mitotic sister chromatid separation; establishment of chromosome localization; regulation of mitotic nuclear division; negative regulation of mitotic cell cycle; regulation of mitotic sister chromatid separation; attachment of spindle microtubules to kinetochore; negative regulation of mitotic nuclear division; regulation of mitotic sister chromatid segregation; negative regulation of mitotic cell cycle phase transition; negative regulation of nuclear division; negative regulation of sister chromatid segregation; negative regulation of mitotic sister chromatid segregation; negative regulation of mitotic metaphase/anaphase transition; negative regulation of mitotic sister chromatid separation; spindle checkpoint signaling; regulation of cell division; mitotic spindle assembly checkpoint signaling; spindle assembly checkpoint signaling; mitotic spindle checkpoint signaling; regulation of nuclear division; negative regulation of chromosome segregation; negative regulation of metaphase/anaphase transition of cell cycle; negative regulation of chromosome separation; meiotic cell cycle; response to leukemia inhibitory factor; cellular response to leukemia inhibitory factor; meiotic cell cycle process; regulation of cytokinesis; meiotic nuclear division"
"DNAJC25-GNG10",-2.68319619170681,0.999697254482578,0.000446565045651792,"DNAJC25-GNG10 readthrough",0,"No KEGG pathway",0,"No GO term"
