"User ID","Value","Gene Name","Species"
"COL3A1","","collagen type III alpha 1 chain(COL3A1)","Homo sapiens"
"COL6A2","","collagen type VI alpha 2 chain(COL6A2)","Homo sapiens"
"COL6A3","","collagen type VI alpha 3 chain(COL6A3)","Homo sapiens"
"COMMD7","","COMM domain containing 7(COMMD7)","Homo sapiens"
"COPRS","","coordinator of PRMT5 and differentiation stimulator(COPRS)","Homo sapiens"
"COPS9","","COP9 signalosome subunit 9(COPS9)","Homo sapiens"
"COQ6","","coenzyme Q6, monooxygenase(COQ6)","Homo sapiens"
"COX18","","cytochrome c oxidase assembly factor COX18(COX18)","Homo sapiens"
"CPE","","carboxypeptidase E(CPE)","Homo sapiens"
"CPM","","carboxypeptidase M(CPM)","Homo sapiens"
"CRIP1","","cysteine rich protein 1(CRIP1)","Homo sapiens"
"CRISPLD2","","cysteine rich secretory protein LCCL domain containing 2(CRISPLD2)","Homo sapiens"
"CSNK2B","","casein kinase 2 beta(CSNK2B)","Homo sapiens"
"CSPG5","","chondroitin sulfate proteoglycan 5(CSPG5)","Homo sapiens"
"CTBP1","","C-terminal binding protein 1(CTBP1)","Homo sapiens"
"CTTNBP2NL","","CTTNBP2 N-terminal like(CTTNBP2NL)","Homo sapiens"
"CUL2","","cullin 2(CUL2)","Homo sapiens"
"CUL4A","","cullin 4A(CUL4A)","Homo sapiens"
"CXCL2","","C-X-C motif chemokine ligand 2(CXCL2)","Homo sapiens"
"CXCL3","","C-X-C motif chemokine ligand 3(CXCL3)","Homo sapiens"
"CYP2R1","","cytochrome P450 family 2 subfamily R member 1(CYP2R1)","Homo sapiens"
"DAB2","","DAB adaptor protein 2(DAB2)","Homo sapiens"
"DAPK3","","death associated protein kinase 3(DAPK3)","Homo sapiens"
"DAPL1","","death associated protein like 1(DAPL1)","Homo sapiens"
"DCLK1","","doublecortin like kinase 1(DCLK1)","Homo sapiens"
"DDB2","","damage specific DNA binding protein 2(DDB2)","Homo sapiens"
"DELE1","","DAP3 binding cell death enhancer 1(DELE1)","Homo sapiens"
"DEPP1","","DEPP autophagy regulator 1(DEPP1)","Homo sapiens"
"DHX32","","DEAH-box helicase 32 (putative)(DHX32)","Homo sapiens"
"DIP2C","","disco interacting protein 2 homolog C(DIP2C)","Homo sapiens"
"DLC1","","DLC1 Rho GTPase activating protein(DLC1)","Homo sapiens"
"DNAAF9","","dynein axonemal assembly factor 9(DNAAF9)","Homo sapiens"
"DNAI7","","dynein axonemal intermediate chain 7(DNAI7)","Homo sapiens"
"DNAJA4","","DnaJ heat shock protein family (Hsp40) member A4(DNAJA4)","Homo sapiens"
"DNAJC25","","DnaJ heat shock protein family (Hsp40) member C25(DNAJC25)","Homo sapiens"
"DNMBP","","dynamin binding protein(DNMBP)","Homo sapiens"
"DOK2","","docking protein 2(DOK2)","Homo sapiens"
"DPP4","","dipeptidyl peptidase 4(DPP4)","Homo sapiens"
"DYNC2LI1","","dynein cytoplasmic 2 light intermediate chain 1(DYNC2LI1)","Homo sapiens"
"ECE2","","endothelin converting enzyme 2(ECE2)","Homo sapiens"
"ECI1","","enoyl-CoA delta isomerase 1(ECI1)","Homo sapiens"
"EDEM1","","ER degradation enhancing alpha-mannosidase like protein 1(EDEM1)","Homo sapiens"
"EEF1AKMT3","","EEF1A lysine methyltransferase 3(EEF1AKMT3)","Homo sapiens"
"EEF1G","","eukaryotic translation elongation factor 1 gamma(EEF1G)","Homo sapiens"
"EFNB2","","ephrin B2(EFNB2)","Homo sapiens"
"EGLN2","","egl-9 family hypoxia inducible factor 2(EGLN2)","Homo sapiens"
