"User ID","Value","Gene Name","Species"
"RSU1","","Ras suppressor protein 1(RSU1)","Homo sapiens"
"RYBP","","RING1 and YY1 binding protein(RYBP)","Homo sapiens"
"SAMD11","","sterile alpha motif domain containing 11(SAMD11)","Homo sapiens"
"SCAI","","suppressor of cancer cell invasion(SCAI)","Homo sapiens"
"SCARA3","","scavenger receptor class A member 3(SCARA3)","Homo sapiens"
"SCGB3A1","","secretoglobin family 3A member 1(SCGB3A1)","Homo sapiens"
"SCN3A","","sodium voltage-gated channel alpha subunit 3(SCN3A)","Homo sapiens"
"SCPEP1","","serine carboxypeptidase 1(SCPEP1)","Homo sapiens"
"SDC4","","syndecan 4(SDC4)","Homo sapiens"
"SELENOI","","selenoprotein I(SELENOI)","Homo sapiens"
"SH2D4B","","SH2 domain containing 4B(SH2D4B)","Homo sapiens"
"SHMT2","","serine hydroxymethyltransferase 2(SHMT2)","Homo sapiens"
"SIRT2","","sirtuin 2(SIRT2)","Homo sapiens"
"SKI","","SKI proto-oncogene(SKI)","Homo sapiens"
"SLBP","","stem-loop histone mRNA binding protein(SLBP)","Homo sapiens"
"SLC12A7","","solute carrier family 12 member 7(SLC12A7)","Homo sapiens"
"SLC16A5","","solute carrier family 16 member 5(SLC16A5)","Homo sapiens"
"SLC25A34","","solute carrier family 25 member 34(SLC25A34)","Homo sapiens"
"SLC25A42","","solute carrier family 25 member 42(SLC25A42)","Homo sapiens"
"SLC35A5","","solute carrier family 35 member A5(SLC35A5)","Homo sapiens"
"SLC38A1","","solute carrier family 38 member 1(SLC38A1)","Homo sapiens"
"SLC43A2","","solute carrier family 43 member 2(SLC43A2)","Homo sapiens"
"SLC6A14","","solute carrier family 6 member 14(SLC6A14)","Homo sapiens"
"SLC8A1","","solute carrier family 8 member A1(SLC8A1)","Homo sapiens"
"SLF1","","SMC5/6 complex localization factor 1(SLF1)","Homo sapiens"
"SLFN13","","schlafen family member 13(SLFN13)","Homo sapiens"
"SLITRK6","","SLIT and NTRK like family member 6(SLITRK6)","Homo sapiens"
"SMG7","","SMG7 nonsense mediated mRNA decay factor(SMG7)","Homo sapiens"
"SMIM30","","small integral membrane protein 30(SMIM30)","Homo sapiens"
"SNAP25","","synaptosome associated protein 25(SNAP25)","Homo sapiens"
"SNN","","stannin(SNN)","Homo sapiens"
"SNX13","","sorting nexin 13(SNX13)","Homo sapiens"
"SNX32","","sorting nexin 32(SNX32)","Homo sapiens"
"SOD1","","superoxide dismutase 1(SOD1)","Homo sapiens"
"SOD3","","superoxide dismutase 3(SOD3)","Homo sapiens"
"SORBS2","","sorbin and SH3 domain containing 2(SORBS2)","Homo sapiens"
"SORD","","sorbitol dehydrogenase(SORD)","Homo sapiens"
"SOS2","","SOS Ras/Rho guanine nucleotide exchange factor 2(SOS2)","Homo sapiens"
"SOX18","","SRY-box transcription factor 18(SOX18)","Homo sapiens"
"SPATA18","","spermatogenesis associated 18(SPATA18)","Homo sapiens"
"SPATA6","","spermatogenesis associated 6(SPATA6)","Homo sapiens"
"SPNS2","","SPNS lysolipid transporter 2, sphingosine-1-phosphate(SPNS2)","Homo sapiens"
"SRSF6","","serine and arginine rich splicing factor 6(SRSF6)","Homo sapiens"
"SSRP1","","structure specific recognition protein 1(SSRP1)","Homo sapiens"
"ST6GALNAC6","","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 6(ST6GALNAC6)","Homo sapiens"
"ST8SIA4","","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4(ST8SIA4)","Homo sapiens"
"STEAP1","","STEAP family member 1(STEAP1)","Homo sapiens"
"STK38L","","serine/threonine kinase 38 like(STK38L)","Homo sapiens"
"STS","","steroid sulfatase(STS)","Homo sapiens"
"STXBP4","","syntaxin binding protein 4(STXBP4)","Homo sapiens"
"SV2B","","synaptic vesicle glycoprotein 2B(SV2B)","Homo sapiens"
"SYNCRIP","","synaptotagmin binding cytoplasmic RNA interacting protein(SYNCRIP)","Homo sapiens"
"SYNPO","","synaptopodin(SYNPO)","Homo sapiens"
"SYT8","","synaptotagmin 8(SYT8)","Homo sapiens"
"TAB1","","TGF-beta activated kinase 1 (MAP3K7) binding protein 1(TAB1)","Homo sapiens"
"TAB2","","TGF-beta activated kinase 1 (MAP3K7) binding protein 2(TAB2)","Homo sapiens"
"TAF2","","TATA-box binding protein associated factor 2(TAF2)","Homo sapiens"
"TAX1BP3","","Tax1 binding protein 3(TAX1BP3)","Homo sapiens"
"TBC1D23","","TBC1 domain family member 23(TBC1D23)","Homo sapiens"
"TBPL1","","TATA-box binding protein like 1(TBPL1)","Homo sapiens"
"TEN1","","TEN1 subunit of CST complex(TEN1)","Homo sapiens"
"TEX14","","testis expressed 14, intercellular bridge forming factor(TEX14)","Homo sapiens"
"THAP5","","THAP domain containing 5(THAP5)","Homo sapiens"
"THEMIS","","thymocyte selection associated(THEMIS)","Homo sapiens"
"THUMPD3","","THUMP domain 3 tRNA guanosine methyltransferase(THUMPD3)","Homo sapiens"
"TIGD2","","tigger transposable element derived 2(TIGD2)","Homo sapiens"
"TMEM175","","transmembrane protein 175(TMEM175)","Homo sapiens"
"TMEM183A","","transmembrane protein 183A(TMEM183A)","Homo sapiens"
"TMEM217","","transmembrane protein 217(TMEM217)","Homo sapiens"
"TMEM30B","","transmembrane protein 30B(TMEM30B)","Homo sapiens"
"TMEM45B","","transmembrane protein 45B(TMEM45B)","Homo sapiens"
"TMEM98","","transmembrane protein 98(TMEM98)","Homo sapiens"
"TNFRSF11B","","TNF receptor superfamily member 11b(TNFRSF11B)","Homo sapiens"
"TNNC1","","troponin C1, slow skeletal and cardiac type(TNNC1)","Homo sapiens"
"TPM3","","tropomyosin 3(TPM3)","Homo sapiens"
"TRABD2A","","TraB domain containing 2A(TRABD2A)","Homo sapiens"
"TRAF3","","TNF receptor associated factor 3(TRAF3)","Homo sapiens"
"TRAF6","","TNF receptor associated factor 6(TRAF6)","Homo sapiens"
"TRAPPC4","","trafficking protein particle complex subunit 4(TRAPPC4)","Homo sapiens"
"TRAPPC5","","trafficking protein particle complex subunit 5(TRAPPC5)","Homo sapiens"
"TRIB1","","tribbles pseudokinase 1(TRIB1)","Homo sapiens"
"TRIM52","","tripartite motif containing 52(TRIM52)","Homo sapiens"
"TRNP1","","TMF1 regulated nuclear protein 1(TRNP1)","Homo sapiens"
"TSEN15","","tRNA splicing endonuclease subunit 15(TSEN15)","Homo sapiens"
"TSHZ2","","teashirt zinc finger homeobox 2(TSHZ2)","Homo sapiens"
"TSPAN5","","tetraspanin 5(TSPAN5)","Homo sapiens"
"TTC39A","","tetratricopeptide repeat domain 39A(TTC39A)","Homo sapiens"
"TTC9","","tetratricopeptide repeat domain 9(TTC9)","Homo sapiens"
"TUBGCP5","","tubulin gamma complex component 5(TUBGCP5)","Homo sapiens"
"TXN2","","thioredoxin 2(TXN2)","Homo sapiens"
"TXNDC12","","thioredoxin domain containing 12(TXNDC12)","Homo sapiens"
"TXNL4B","","thioredoxin like 4B(TXNL4B)","Homo sapiens"
"USE1","","unconventional SNARE in the ER 1(USE1)","Homo sapiens"
"USP38","","ubiquitin specific peptidase 38(USP38)","Homo sapiens"
"USP54","","ubiquitin specific peptidase 54(USP54)","Homo sapiens"
"UST","","uronyl 2-sulfotransferase(UST)","Homo sapiens"
"UXT","","ubiquitously expressed prefoldin like chaperone(UXT)","Homo sapiens"
"VIM","","vimentin(VIM)","Homo sapiens"
"VPS50","","VPS50 subunit of EARP/GARPII complex(VPS50)","Homo sapiens"
"VSIG2","","V-set and immunoglobulin domain containing 2(VSIG2)","Homo sapiens"
"WAC","","WW domain containing adaptor with coiled-coil(WAC)","Homo sapiens"
"WTIP","","WT1 interacting protein(WTIP)","Homo sapiens"
"ZBTB8A","","zinc finger and BTB domain containing 8A(ZBTB8A)","Homo sapiens"
"ZC3H11A","","zinc finger CCCH-type containing 11A(ZC3H11A)","Homo sapiens"
"ZMYM4","","zinc finger MYM-type containing 4(ZMYM4)","Homo sapiens"
"ZNF138","","zinc finger protein 138(ZNF138)","Homo sapiens"
"ZNF234","","zinc finger protein 234(ZNF234)","Homo sapiens"
"ZNF264","","zinc finger protein 264(ZNF264)","Homo sapiens"
"ZNF442","","zinc finger protein 442(ZNF442)","Homo sapiens"
"ZNF563","","zinc finger protein 563(ZNF563)","Homo sapiens"
"ZNF593","","zinc finger protein 593(ZNF593)","Homo sapiens"
"ZNF683","","zinc finger protein 683(ZNF683)","Homo sapiens"
"ZNF717","","zinc finger protein 717(ZNF717)","Homo sapiens"
"ZNF75A","","zinc finger protein 75A(ZNF75A)","Homo sapiens"
"ZNF770","","zinc finger protein 770(ZNF770)","Homo sapiens"
"ZSWIM4","","zinc finger SWIM-type containing 4(ZSWIM4)","Homo sapiens"
"ZSWIM6","","zinc finger SWIM-type containing 6(ZSWIM6)","Homo sapiens"

